Datetime,Temperature
2023-04-22 08:20:14,32.6
2023-04-22 08:25:14,32.6
2023-04-22 08:30:14,33.1
2023-04-22 08:35:14,33.1
2023-04-22 08:40:14,33.6
2023-04-22 08:45:14,33.6
2023-04-22 08:50:14,32.6
2023-04-22 08:55:14,32.1
2023-04-22 09:00:14,32.1
2023-04-22 09:05:14,32.6
2023-04-22 09:10:14,33.1
2023-04-22 09:15:14,32.6
2023-04-22 09:20:14,33.6
2023-04-22 09:25:14,34.0
2023-04-22 09:30:14,32.6
2023-04-22 09:35:14,33.1
2023-04-22 09:40:14,33.1
2023-04-22 09:45:14,32.1
2023-04-22 09:50:14,32.6
2023-04-22 09:55:14,33.1
2023-04-22 10:00:14,33.6
2023-04-22 10:05:15,32.6
2023-04-22 10:10:15,32.6
2023-04-22 10:15:15,32.6
2023-04-22 10:20:15,32.6
2023-04-22 10:25:15,32.6
2023-04-22 10:30:15,32.1
2023-04-22 10:35:15,32.6
2023-04-22 10:40:15,33.6
2023-04-22 10:45:15,33.6
2023-04-22 10:50:15,32.6
2023-04-22 10:55:15,33.6
2023-04-22 11:00:15,32.6
2023-04-22 11:05:15,33.1
2023-04-22 11:10:15,33.6
2023-04-22 11:15:15,33.6
2023-04-22 11:20:15,33.1
2023-04-22 11:25:15,33.6
2023-04-22 11:30:15,32.6
2023-04-22 11:35:15,32.1
2023-04-22 11:40:15,31.1
2023-04-22 11:45:15,30.6
2023-04-22 11:50:15,31.6
2023-04-22 11:55:15,31.6
2023-04-22 12:00:15,32.6
2023-04-22 12:05:15,30.6
2023-04-22 12:10:15,31.6
2023-04-22 12:15:15,30.6
2023-04-22 12:20:15,31.1
2023-04-22 12:25:15,31.1
2023-04-22 12:30:15,32.6
2023-04-22 12:35:15,33.1
2023-04-22 12:40:15,32.1
2023-04-22 12:45:15,33.1
2023-04-22 12:50:15,32.6
2023-04-22 12:55:16,33.6
2023-04-22 13:00:16,32.6
2023-04-22 13:05:16,33.1
2023-04-22 13:10:16,33.6
2023-04-22 13:15:16,33.1
2023-04-22 13:20:16,32.6
2023-04-22 13:25:16,33.1
2023-04-22 13:30:16,34.0
2023-04-22 13:35:16,33.6
2023-04-22 13:40:16,33.6
2023-04-22 13:45:16,33.1
2023-04-22 13:50:16,32.6
2023-04-22 13:55:16,33.1
2023-04-22 14:00:16,32.1
2023-04-22 14:05:16,34.0
2023-04-22 14:10:16,32.6
2023-04-22 14:15:16,33.6
2023-04-22 14:20:16,33.6
2023-04-22 14:25:16,32.1
2023-04-22 14:30:16,33.1
2023-04-22 14:35:16,33.6
2023-04-22 14:40:16,33.1
2023-04-22 14:45:16,32.6
2023-04-22 14:50:16,33.6
2023-04-22 14:55:16,32.6
2023-04-22 15:00:16,34.5
2023-04-22 15:05:16,33.6
2023-04-22 15:10:16,32.6
2023-04-22 15:15:16,34.0
2023-04-22 15:20:16,33.6
2023-04-22 15:25:16,33.1
2023-04-22 15:30:16,33.6
2023-04-22 15:35:16,34.5
2023-04-22 15:40:17,34.5
2023-04-22 15:45:17,34.0
2023-04-22 15:50:17,33.6
2023-04-22 15:55:17,34.0
2023-04-22 16:00:17,33.1
2023-04-22 16:05:17,34.0
2023-04-22 16:10:17,34.5
2023-04-22 16:15:17,34.0
2023-04-22 16:20:17,33.6
2023-04-22 16:25:17,32.6
2023-04-22 16:30:17,34.0
